Name,Score,Aired,Status,Studios,Source,Rank,Popularity,Favorites,Scored By,Members,Main Genre,Sub Genre,Year Released
Beck,8.29,"Oct 7, 2004 to Mar 31, 2005",Finished Airing,Madhouse,Manga,252.0,669,8149,136432.0,327015,Comedy,Drama,2004.0
Blue Gender,7.03,"Oct 8, 1999 to Mar 31, 2000",Finished Airing,AIC,Original,3873.0,2256,415,29649.0,78193,Adventure,Drama,1999.0
Chobits,7.4,"Apr 3, 2002 to Sep 25, 2002",Finished Airing,Madhouse,Manga,2080.0,441,3824,249019.0,469408,Comedy,Drama,2002.0
Chrno Crusade,7.62,"Nov 25, 2003 to Jun 10, 2004",Finished Airing,Gonzo,Manga,1322.0,1010,1939,102723.0,221814,Action,Romance,2003.0
D.N.Angel,7.17,"Apr 3, 2003 to Sep 25, 2003",Finished Airing,Xebec,Manga,3180.0,1211,1257,98061.0,182259,Action,Comedy,2003.0
D.C.: Da Capo,6.72,"Jul 5, 2003 to Dec 27, 2003",Finished Airing,"feel., Zexcs",Visual novel,5215.0,2320,194,30349.0,74844,Drama,Romance,2003.0
DearS,6.56,"Jul 11, 2004 to Sep 26, 2004",Finished Airing,Daume,Manga,6027.0,1460,346,78611.0,145533,Comedy,Romance,2004.0
Rozen Maiden,7.41,"Oct 8, 2004 to Dec 24, 2004",Finished Airing,Nomad,Manga,2053.0,1120,1936,95684.0,199570,Action,Comedy,2004.0
Rozen Maiden: Träumend,7.62,"Oct 21, 2005 to Jan 27, 2006",Finished Airing,Nomad,Manga,1340.0,1898,450,57969.0,102972,Action,Comedy,2005.0
Azumanga Daiou The Animation,7.99,"Apr 9, 2002 to Oct 1, 2002",Finished Airing,J.C.Staff,4-koma manga,603.0,668,6327,146773.0,327945,Comedy,Slice of Life,2002.0
Basilisk: Kouga Ninpou Chou,7.55,"Apr 13, 2005 to Sep 21, 2005",Finished Airing,Gonzo,Manga,1539.0,1213,1371,76398.0,182074,Action,Drama,2005.0
Black Cat (TV),7.33,"Oct 7, 2005 to Mar 31, 2006",Finished Airing,Gonzo,Manga,2389.0,846,1779,127273.0,264622,Action,Adventure,2005.0
Cluster Edge,6.31,"Oct 5, 2005 to Mar 29, 2006",Finished Airing,Sunrise,Original,7357.0,5917,13,2996.0,10561,Action,Fantasy,2005.0
Full Metal Panic!,7.61,"Jan 8, 2002 to Jun 18, 2002",Finished Airing,Gonzo,Light novel,1356.0,422,4326,236646.0,482069,Action,Comedy,2002.0
Full Metal Panic? Fumoffu,8.03,"Aug 26, 2003 to Nov 18, 2003",Finished Airing,Kyoto Animation,Light novel,548.0,769,2907,171852.0,289064,Action,Comedy,2003.0
Full Metal Panic! The Second Raid,7.93,"Jul 14, 2005 to Oct 20, 2005",Finished Airing,Kyoto Animation,Light novel,682.0,878,1268,145898.0,255279,Action,No Sub-Genre,2005.0
Gakuen Alice,7.64,"Oct 30, 2004 to May 14, 2005",Finished Airing,Group TAC,Manga,1276.0,1975,1397,50323.0,97186,Comedy,Fantasy,2004.0
Soukyuu no Fafner: Dead Aggressor,7.26,"Jul 5, 2004 to Dec 27, 2004",Finished Airing,Xebec,Original,2751.0,3000,260,14750.0,47077,Action,Drama,2004.0
Mahou Shoujo Lyrical Nanoha,7.41,"Oct 3, 2004 to Dec 26, 2004",Finished Airing,Seven Arcs,Original,2044.0,1921,1038,41202.0,101048,Action,Comedy,2004.0
Mahou Shoujo Lyrical Nanoha A's,7.97,"Oct 2, 2005 to Dec 25, 2005",Finished Airing,Seven Arcs,Original,622.0,2555,993,33024.0,63640,Action,Comedy,2005.0
Shuffle!,7.03,"Jul 8, 2005 to Jan 6, 2006",Finished Airing,asread.,Visual novel,3854.0,820,1461,133611.0,273378,Comedy,Drama,2005.0
Kidou Senshi Gundam,7.76,"Apr 7, 1979 to Jan 26, 1980",Finished Airing,Sunrise,Original,1005.0,1632,2140,56938.0,126804,Action,Drama,1979.0
Kidou Senshi Gundam: Dai 08 MS Shoutai,8.01,"Jan 25, 1996 to Jul 25, 1999",Finished Airing,Sunrise,Original,571.0,2231,1064,43859.0,79682,Adventure,Drama,1996.0
Kidou Senshi Gundam 0080: Pocket no Naka no Sensou,7.96,"Mar 25, 1989 to Aug 25, 1989",Finished Airing,Sunrise,Original,630.0,2718,966,31259.0,56839,Drama,Sci-Fi,1989.0
Kidou Senshi Gundam: Dai 08 MS Shoutai - Miller's Report,6.76,"Aug 1, 1998",Finished Airing,Sunrise,Original,5014.0,5384,3,6621.0,13284,Drama,Romance,
Kidou Senshi Gundam 0083: Stardust Memory,7.24,"May 23, 1991 to Sep 24, 1992",Finished Airing,Sunrise,Original,2801.0,3173,251,23874.0,42580,Adventure,Drama,1991.0
Kidou Senshi Zeta Gundam,7.9,"Mar 2, 1985 to Feb 22, 1986",Finished Airing,Sunrise,Original,719.0,2401,2117,35809.0,70651,Drama,Romance,1985.0
Kidou Senshi Gundam ZZ,6.68,"Mar 1, 1986 to Jan 31, 1987",Finished Airing,Sunrise,Original,5437.0,3254,178,19985.0,40669,Comedy,Drama,1986.0
Kidou Senshi Gundam: Gyakushuu no Char,7.66,"Mar 12, 1988",Finished Airing,Sunrise,Novel,1225.0,3005,422,27623.0,46928,Drama,Sci-Fi,
Kidou Senshi Gundam F91,6.62,"Mar 16, 1991",Finished Airing,Sunrise,Original,5740.0,3771,82,16605.0,30560,Drama,Sci-Fi,
Kidou Senshi Victory Gundam,6.77,"Apr 2, 1993 to Mar 25, 1994",Finished Airing,Sunrise,Original,4996.0,4037,136,10400.0,26469,Drama,Sci-Fi,1993.0
Shin Kidou Senki Gundam Wing,7.69,"Apr 7, 1995 to Mar 29, 1996",Finished Airing,Sunrise,Original,1168.0,1391,2334,87593.0,155744,Action,Drama,1995.0
Shin Kidou Senki Gundam Wing: Endless Waltz,7.74,"Jan 25, 1997 to Jul 25, 1997",Finished Airing,Sunrise,Original,1050.0,2996,176,27092.0,47208,Action,Award Winning,1997.0
Kidou Shinseiki Gundam X,7.34,"Apr 5, 1996 to Dec 28, 1996",Finished Airing,Sunrise,Original,2330.0,3534,199,15331.0,34851,Adventure,Drama,1996.0
Kidou Senshi Gundam SEED,7.75,"Oct 5, 2002 to Sep 27, 2003",Finished Airing,Sunrise,Original,1011.0,1330,3435,92725.0,164436,Action,Award Winning,2002.0
Kidou Senshi Gundam SEED Destiny,7.18,"Oct 9, 2004 to Oct 1, 2005",Finished Airing,Sunrise,Original,3122.0,1887,1063,63114.0,104048,Action,Drama,2004.0
Turn A Gundam,7.74,"Apr 9, 1999 to Apr 14, 2000",Finished Airing,Sunrise,Original,1057.0,3041,965,16137.0,45772,Action,Adventure,1999.0
Kidou Butouden G Gundam,7.57,"Apr 1, 1994 to Mar 31, 1995",Finished Airing,Sunrise,Original,1451.0,2483,978,36150.0,66828,Adventure,Comedy,1994.0
Last Exile,7.79,"Apr 8, 2003 to Sep 30, 2003",Finished Airing,Gonzo,Original,943.0,1297,1825,69879.0,170062,Action,Adventure,2003.0
Mai-HiME,7.42,"Oct 1, 2004 to Apr 1, 2005",Finished Airing,Sunrise,Original,1981.0,1781,1146,51203.0,113210,Action,Fantasy,2004.0
Mai-Otome,7.28,"Oct 7, 2005 to Mar 31, 2006",Finished Airing,Sunrise,Original,2631.0,2896,303,25042.0,50454,Comedy,Drama,2005.0
Shin Shirayuki-hime Densetsu Prétear,7.16,"Apr 4, 2001 to Jun 27, 2001",Finished Airing,Hal Film Maker,Manga,3271.0,2589,409,28219.0,62156,Comedy,Drama,2001.0
Air,7.28,"Jan 7, 2005 to Mar 25, 2005",Finished Airing,Kyoto Animation,Visual novel,2603.0,761,2605,151312.0,292351,Drama,Romance,2005.0
Aishiteruze Baby★★,7.44,"Apr 3, 2004 to Oct 9, 2004",Finished Airing,TMS Entertainment,Manga,1895.0,1919,546,52861.0,101134,Comedy,Drama,2004.0
Akazukin Chacha,7.49,"Jan 7, 1994 to Jun 30, 1995",Finished Airing,Gallop,Manga,1733.0,5140,110,5335.0,14917,Adventure,Comedy,1994.0
Ayashi no Ceres,7.18,"Apr 20, 2000 to Sep 28, 2000",Finished Airing,Pierrot,Manga,3156.0,2628,482,27320.0,60668,Adventure,Drama,2000.0
Boys Be...,6.4,"Apr 11, 2000 to Jul 4, 2000",Finished Airing,Hal Film Maker,Manga,6889.0,4306,42,9195.0,22934,Comedy,Romance,2000.0
Hana yori Dango,7.61,"Sep 8, 1996 to Aug 31, 1997",Finished Airing,Toei Animation,Manga,1359.0,2643,769,24437.0,59814,Drama,Romance,1996.0
Ou Dorobou Jing,7.19,"May 15, 2002 to Aug 14, 2002",Finished Airing,Studio Deen,Manga,3109.0,3440,206,14288.0,36942,Adventure,Comedy,2002.0
Ou Dorobou Jing in Seventh Heaven,7.25,"Jan 21, 2004 to Apr 28, 2004",Finished Airing,Studio Deen,Manga,2793.0,5457,24,5491.0,12873,Adventure,Comedy,2004.0
Bakuretsu Tenshi,6.79,"Apr 7, 2004 to Sep 15, 2004",Finished Airing,Gonzo,Original,4892.0,2435,234,30890.0,69227,Adventure,Comedy,2004.0
Chuuka Ichiban!,7.58,"Apr 27, 1997 to Sep 13, 1998",Finished Airing,Nippon Animation,Manga,1432.0,4649,113,8106.0,19292,Action,Comedy,1997.0
Corrector Yui,6.97,"Apr 9, 1999 to Oct 20, 2000",Finished Airing,Nippon Animation,Original,4110.0,5031,92,6635.0,15804,Adventure,Comedy,1999.0
Chou Henshin Cosprayers,4.82,"Jan 13, 2004 to Mar 2, 2004",Finished Airing,"Imagin, Studio Live",Original,12171.0,6433,5,3197.0,8567,Action,Adventure,2004.0
Uchuu no Stellvia,7.37,"Apr 3, 2003 to Sep 25, 2003",Finished Airing,Xebec,Original,2176.0,4220,119,9484.0,24116,Action,Romance,2003.0
Sakigake!! Cromartie Koukou,7.9,"Oct 3, 2003 to Mar 26, 2004",Finished Airing,Production I.G,Manga,722.0,1549,1600,52849.0,134468,Comedy,No Sub-Genre,2003.0
El Hazard: The Alternative World,6.79,"Jan 8, 1998 to Mar 26, 1998",Finished Airing,AIC,Original,4906.0,5731,8,4915.0,11370,Adventure,Comedy,1998.0
El Hazard: The Wanderers,6.93,"Oct 6, 1995 to Mar 29, 1996",Finished Airing,AIC,Original,4257.0,4846,35,7070.0,17489,Adventure,Comedy,1995.0
El Hazard: The Magnificent World,7.26,"May 26, 1995 to Jan 25, 1996",Finished Airing,AIC,Original,2720.0,4693,95,7676.0,18867,Adventure,Comedy,1995.0
El Hazard 2: The Magnificent World,6.78,"Mar 21, 1997 to Oct 25, 1997",Finished Airing,AIC,Original,4926.0,6314,6,4238.0,9011,Adventure,Comedy,1997.0
Final Approach,6.52,"Oct 3, 2004 to Dec 26, 2004",Finished Airing,"Trinet Entertainment, Zexcs",Visual novel,6278.0,3525,46,17478.0,35110,Comedy,Drama,2004.0
Fruits Basket,7.69,"Jul 5, 2001 to Dec 27, 2001",Finished Airing,Studio Deen,Manga,1174.0,389,9255,276380.0,524623,Drama,Romance,2001.0
Fullmetal Alchemist,8.11,"Oct 4, 2003 to Oct 2, 2004",Finished Airing,Bones,Manga,454.0,76,25502,868434.0,1426703,Action,Adventure,2003.0
Full Moon wo Sagashite,7.94,"Apr 6, 2002 to Mar 29, 2003",Finished Airing,Studio Deen,Manga,660.0,1860,1782,46837.0,106414,Comedy,Drama,2002.0
Fushigi Yuugi,7.61,"Apr 6, 1995 to Mar 28, 1996",Finished Airing,Pierrot,Manga,1357.0,1748,2043,51017.0,115885,Adventure,Fantasy,1995.0
Fushigi Yuugi: Eikouden,6.82,"Dec 21, 2001 to Jun 25, 2002",Finished Airing,Pierrot,Manga,4776.0,4833,40,8944.0,17611,Adventure,Drama,2001.0
Futakoi,6.44,"Oct 6, 2004 to Dec 29, 2004",Finished Airing,Telecom Animation Film,Original,6666.0,3540,23,15858.0,34677,Comedy,Romance,2004.0
Futakoi Alternative,6.86,"Apr 7, 2005 to Jun 30, 2005",Finished Airing,"ufotable, feel., Studio Flag",Original,4571.0,3750,78,11670.0,30944,Comedy,Drama,2005.0
Gate Keepers,6.92,"Apr 3, 2000 to Sep 18, 2000",Finished Airing,Gonzo,Game,4314.0,4404,54,9255.0,21786,Action,Comedy,2000.0
Gate Keepers 21,6.74,"Apr 24, 2002 to Jan 8, 2003",Finished Airing,Gonzo,Game,5125.0,5946,21,4508.0,10417,Action,Drama,2002.0
Gensoumaden Saiyuuki,7.55,"Apr 4, 2000 to Mar 27, 2001",Finished Airing,Pierrot,Manga,1545.0,2791,776,21181.0,53858,Action,Adventure,2000.0
Saiyuuki Reload,7.37,"Oct 2, 2003 to Mar 25, 2004",Finished Airing,Pierrot,Manga,2211.0,3560,112,13300.0,34249,Action,Adventure,2003.0
Saiyuuki Reload Gunlock,7.37,"Apr 2, 2004 to Sep 24, 2004",Finished Airing,Pierrot,Manga,2211.0,4298,46,8463.0,22999,Action,Adventure,2004.0
GetBackers,7.58,"Oct 5, 2002 to Sep 20, 2003",Finished Airing,Studio Deen,Manga,1438.0,1703,867,53000.0,119875,Action,Mystery,2002.0
Green Green,6.15,"Jul 13, 2003 to Sep 28, 2003",Finished Airing,Studio Matrix,Visual novel,8102.0,1750,221,65710.0,115548,Comedy,Romance,2003.0
Gunslinger Girl,7.39,"Oct 9, 2003 to Feb 19, 2004",Finished Airing,Madhouse,Manga,2127.0,1191,1153,76112.0,185016,Action,Drama,2003.0
Hikaru no Go,8.08,"Oct 10, 2001 to Mar 26, 2003",Finished Airing,Pierrot,Manga,491.0,1557,2341,61567.0,133599,Comedy,Drama,2001.0
Hunter x Hunter,8.41,"Oct 16, 1999 to Mar 31, 2001",Finished Airing,Nippon Animation,Manga,170.0,357,10442,275467.0,564771,Action,Adventure,1999.0
Hunter x Hunter: Original Video Animation,8.31,"Jan 17, 2002 to Apr 17, 2002",Finished Airing,Nippon Animation,Manga,239.0,1673,395,64101.0,122636,Action,Adventure,2002.0
Hunter x Hunter: Greed Island,8.18,"Feb 5, 2003 to Apr 16, 2003",Finished Airing,Nippon Animation,Manga,374.0,1429,284,82653.0,150175,Action,Adventure,2003.0
Hunter x Hunter: Greed Island Final,8.25,"Mar 3, 2004 to Aug 18, 2004",Finished Airing,Nippon Animation,Manga,298.0,1506,238,75642.0,139464,Action,Adventure,2004.0
Jinki:Extend,6.1,"Jan 6, 2005 to Mar 24, 2005",Finished Airing,feel.,Manga,8385.0,5723,11,4233.0,11401,Sci-Fi,No Sub-Genre,2005.0
Kamikaze Kaitou Jeanne,7.46,"Feb 13, 1999 to Jan 29, 2000",Finished Airing,Toei Animation,Manga,1847.0,2764,496,27792.0,54889,Action,Drama,1999.0
Kannazuki no Miko,6.81,"Oct 2, 2004 to Dec 18, 2004",Finished Airing,TNK,Manga,4801.0,2436,701,29746.0,69192,Drama,Girls Love,2004.0
Kanon,7.07,"Jan 31, 2002 to Mar 28, 2002",Finished Airing,Toei Animation,Visual novel,3669.0,2542,220,26704.0,64293,Drama,Romance,2002.0
Kareshi Kanojo no Jijou,7.59,"Oct 2, 1998 to Mar 26, 1999",Finished Airing,"Gainax, J.C.Staff",Manga,1402.0,1023,2517,78310.0,220497,Comedy,Drama,1998.0
Kono Minikuku mo Utsukushii Sekai,6.71,"Apr 2, 2004 to Jun 18, 2004",Finished Airing,"Gainax, Shaft",Original,5291.0,2647,151,28382.0,59737,Comedy,Drama,2004.0
Kimi ga Nozomu Eien,7.18,"Oct 5, 2003 to Jan 4, 2004",Finished Airing,Studio Fantasia,Visual novel,3122.0,1511,1048,67615.0,139156,Drama,Romance,2003.0
Kita e.: Diamond Dust Drops,6.56,"Jan 20, 2004 to Apr 5, 2004",Finished Airing,Studio Deen,Visual novel,6039.0,6300,10,2671.0,9050,Drama,Romance,2004.0
Loveless,6.76,"Apr 7, 2005 to Jun 30, 2005",Finished Airing,J.C.Staff,Manga,5020.0,1526,1308,69267.0,137813,Action,Boys Love,2005.0
Blood+,7.62,"Oct 8, 2005 to Sep 23, 2006",Finished Airing,Production I.G,Original,1320.0,592,4321,156688.0,367577,Action,Drama,2005.0
Re: Cutey Honey,7.1,"Jul 24, 2004 to Sep 25, 2004",Finished Airing,"Gainax, Toei Animation",Manga,3562.0,3925,161,10684.0,28103,Action,Comedy,2004.0
Solty Rei,7.27,"Oct 7, 2005 to Mar 31, 2006",Finished Airing,"Gonzo, AIC",Original,2675.0,3856,132,12371.0,29283,Action,Sci-Fi,2005.0
Juuni Kokuki,8.02,"Apr 9, 2002 to Aug 30, 2003",Finished Airing,Pierrot,Novel,566.0,1473,2403,44122.0,144333,Action,Adventure,2002.0
Shaman King,7.75,"Jul 4, 2001 to Sep 25, 2002",Finished Airing,Xebec,Manga,1020.0,612,3709,191259.0,356061,Action,Adventure,2001.0
X/1999,6.57,"Aug 3, 1996",Finished Airing,Madhouse,Manga,5999.0,3442,117,18218.0,36913,Action,Drama,
X,7.4,"Oct 3, 2001 to Mar 27, 2002",Finished Airing,Madhouse,Manga,2072.0,2220,756,34617.0,80243,Action,Drama,2001.0
Mahou Sensei Negima!,6.94,"Jan 6, 2005 to Jun 30, 2005",Finished Airing,Xebec,Manga,4212.0,1523,494,63454.0,138093,Comedy,Fantasy,2005.0
Maria-sama ga Miteru,7.29,"Jan 8, 2004 to Apr 1, 2004",Finished Airing,Studio Deen,Light novel,2569.0,2476,673,21053.0,67257,Drama,Girls Love,2004.0
Boukyaku no Senritsu,6.28,"Apr 7, 2004 to Sep 22, 2004",Finished Airing,"Gainax, J.C.Staff",Manga,7507.0,4748,39,6009.0,18457,Adventure,Fantasy,2004.0
"Ima, Soko ni Iru Boku",7.61,"Oct 14, 1999 to Jan 20, 2000",Finished Airing,AIC,Original,1362.0,1514,1150,40772.0,138932,Adventure,Drama,1999.0
Peace Maker Kurogane,7.3,"Oct 8, 2003 to Mar 24, 2004",Finished Airing,Gonzo,Manga,2512.0,2723,276,23052.0,56677,Action,Comedy,2003.0
Pita Ten,6.93,"Apr 7, 2002 to Sep 29, 2002",Finished Airing,Madhouse,Manga,4278.0,4280,85,10455.0,23271,Comedy,Fantasy,2002.0
Power Stone,6.55,"Apr 3, 1999 to Sep 25, 1999",Finished Airing,Pierrot,Game,6068.0,6725,23,3688.0,7750,Adventure,Comedy,1999.0
Mononoke Hime,8.67,"Jul 12, 1997",Finished Airing,Studio Ghibli,Original,58.0,105,20632,769154.0,1190601,Action,Adventure,
RahXephon,7.39,"Jan 21, 2002 to Sep 11, 2002",Finished Airing,Bones,Original,2108.0,1745,947,42467.0,116145,Action,Award Winning,2002.0
Samurai 7,7.44,"Jun 12, 2004 to Dec 25, 2004",Finished Airing,Gonzo,Other,1923.0,1618,699,61786.0,128166,Sci-Fi,No Sub-Genre,2004.0
Scrapped Princess,7.38,"Apr 8, 2003 to Oct 7, 2003",Finished Airing,Bones,Light novel,2160.0,2016,427,37528.0,93327,Adventure,Comedy,2003.0
s.CRY.ed,7.36,"Jul 4, 2001 to Dec 26, 2001",Finished Airing,Sunrise,Original,2231.0,2204,660,38038.0,81088,Action,Adventure,2001.0
Shingetsutan Tsukihime,6.82,"Oct 10, 2003 to Dec 26, 2003",Finished Airing,J.C.Staff,Visual novel,4752.0,1336,660,69815.0,163534,Action,Horror,2003.0
Slam Dunk,8.54,"Oct 16, 1993 to Mar 23, 1996",Finished Airing,Toei Animation,Manga,108.0,797,6879,128920.0,283226,Sports,No Sub-Genre,1993.0
Strange Dawn,6.32,"Jul 11, 2000 to Sep 26, 2000",Finished Airing,Hal Film Maker,Original,7306.0,7677,9,1572.0,5523,Adventure,Drama,2000.0
Tactics,7.2,"Oct 6, 2004 to Mar 30, 2005",Finished Airing,Studio Deen,Manga,3057.0,3269,167,14062.0,40311,Mystery,Supernatural,2004.0
Tenjou Tenge,6.88,"Apr 2, 2004 to Sep 17, 2004",Finished Airing,Madhouse,Manga,4478.0,1198,596,89121.0,184419,Action,Comedy,2004.0
Tokyo Underground,6.59,"Apr 2, 2002 to Sep 24, 2002",Finished Airing,Pierrot,Manga,5855.0,3873,43,11503.0,28859,Action,Adventure,2002.0
Triangle Heart: Sweet Songs Forever,6.09,"Jul 24, 2003 to Dec 26, 2003",Finished Airing,Seven Arcs,Visual novel,8439.0,7030,7,2650.0,6869,Adventure,Romance,2003.0
Tsubasa Chronicle,7.52,"Apr 9, 2005 to Oct 15, 2005",Finished Airing,Bee Train,Manga,1642.0,1009,2013,95215.0,222752,Action,Adventure,2005.0
Ultra Maniac,7.16,"May 20, 2003 to Nov 11, 2003",Finished Airing,Ashi Productions,Manga,3218.0,3645,124,13581.0,32480,Comedy,Romance,2003.0
Ultra Maniac OVA,6.62,"Aug 6, 2002",Finished Airing,Ashi Productions,Unknown,5712.0,7653,3,2389.0,5554,Comedy,Romance,
Vandread,7.17,"Oct 3, 2000 to Dec 19, 2000",Finished Airing,Gonzo,Original,3210.0,2168,421,43135.0,82637,Action,Sci-Fi,2000.0
Vandread: The Second Stage,7.39,"Oct 5, 2001 to Jan 18, 2002",Finished Airing,Gonzo,Original,2113.0,2824,114,31301.0,52908,Action,Sci-Fi,2001.0
